text,label
Quick standup. Sara here. Yesterday I fixed the authentication bug. Today I'm working on the payment integration. My blocker is the missing design specs.,1
"Hello, I'm looking for Mr. Hassan. Is this the right number? Oh, wrong number. Sorry about that.",0
Code review discussion. Sara's PR for the payment module needs some changes. The error handling is missing for edge cases. Let's go through the comments.,1
Morning team. Omar speaking. Yesterday I reviewed 3 pull requests. Today I'll work on the API documentation. I'm blocked by the unclear requirements for the search feature.,1
Review meeting. We need to look at why we only delivered 30 of 45 committed points. Two stories were blocked by external dependencies we didn't account for.,1
Have you seen the weather forecast? They're predicting heavy rain all week. I guess our barbecue plans are cancelled.,0
"Hi everyone, welcome back to my YouTube channel. Today I'm going to show you how to build a mechanical keyboard from scratch.",0
I can't believe how expensive everything has become. My grocery bill is 40% higher than last year.,0
"Hi, this is an automated survey call. On a scale of 1 to 5, how satisfied were you with your recent purchase?",0
"Sprint review time. Let's demo what we completed this sprint. Ahmed, can you walk us through the new dashboard? Sure. Here you can see the real-time metrics panel.",1
"Good morning students. Before we start today's physics lesson, let's quickly review Newton's three laws of motion.",0
"You're tuned in to Radio Misr. After the break, we'll have the traffic report and weather forecast for Cairo.",0
Planning for Q2. We need to decide between building the analytics dashboard in-house versus using a third-party tool. Decision: build in-house. Omar leads the effort.,1
"Hey, it's me. Did you see the game last night? Incredible finish. Anyway, are you free this weekend?",0
